sucursal,fecha,meses,margen,mean,std
1307,2021-05-31,-1.5,-33588.0,-87064.38333333333,84660.17447600845
1307,2021-06-30,-0.5,-62217.0,-88432.03278688525,84628.52803063656
1282,2017-02-28,-0.1,-100706.0,-87868.14516129032,84049.34392988536
1318,2022-01-31,0.06666666666666667,-39489.0,-90335.58730158731,85638.26874194304
1306,2021-05-31,0.16666666666666666,-77600.0,-91321.390625,85321.14321089025
1287,2018-07-31,0.2,-210323.0,-91640.4,84691.00931913462
1288,2018-10-31,0.23333333333333334,-135502.0,-89900.95454545454,85216.8652689093
1305,2021-06-30,0.36666666666666664,-55655.0,-88524.32835820895,85316.21652140297
1299,2021-03-31,0.4,-97688.0,-87510.7794117647,85088.61432364366
1295,2020-12-31,0.43333333333333335,-112818.0,-86112.84057971014,85255.1623758011
1300,2021-04-30,0.5333333333333333,-35801.0,-84966.78571428571,85176.54539307368
1307,2021-07-31,0.5333333333333333,-94945.0,-84146.40845070423,84848.00963901401
1296,2020-11-30,0.5333333333333333,-45085.0,-84823.29166666667,84443.92266751415
1289,2018-03-31,0.5333333333333333,-49150.0,-87038.98630136986,85965.78747975091
1292,2019-08-31,0.5666666666666667,-237886.0,-86875.0,85386.60383414231
1297,2021-02-28,0.5666666666666667,-131316.0,-85163.32,86093.46924805903
1312,2021-12-31,0.6666666666666666,-78908.0,-84462.09210526316,85735.80584441604
1319,2021-12-31,0.6666666666666666,-38167.0,-83941.12987012987,85292.4822952655
1304,2021-08-31,0.7,-70929.0,-84385.0,84827.45504923433
1293,2020-07-31,0.7,-57156.0,-82482.54430379746,85961.45810318468
1314,2021-11-30,0.7333333333333333,-87075.0,-82697.7125,85437.34376414833
1302,2021-04-30,0.7666666666666667,-71112.0,-82679.35802469136,84901.84185830552
1313,2022-01-31,0.7666666666666667,-53490.0,-82264.0,84459.91913152477
1298,2020-12-31,0.8666666666666667,-254211.0,-80944.98795180723,84799.09850525967
1303,2021-05-31,0.9,-120192.0,-81006.28571428571,84288.5848508465
1282,2017-03-31,0.9333333333333333,-19182.0,-78389.24705882353,87190.26974134894
1309,2021-07-31,1.0,-147463.0,-77766.54651162791,86868.02157887114
1291,2018-09-30,1.0,-272019.0,-77694.6551724138,86364.1014334926
1308,2021-08-31,1.0333333333333334,-44550.0,-76926.85227272728,86167.87707385336
1294,2020-09-30,1.1333333333333333,-1367.0,-78880.55056179775,87636.95872552483
1320,2022-01-31,1.1333333333333333,-75592.0,-77795.27777777778,87749.33204048443
1315,2021-11-30,1.1666666666666667,-110444.0,-77307.74725274726,87384.32212494075
1306,2021-06-30,1.1666666666666667,-105673.0,-76191.03260869565,87560.47164736388
1288,2018-11-30,1.2333333333333334,-138499.0,-75390.51612903226,87424.8128168245
1287,2018-08-31,1.2333333333333334,-336558.0,-75082.85106382979,87004.66585300256
1301,2021-05-31,1.2666666666666666,-142555.0,-73869.94736842105,87344.37490265472
1316,2022-01-31,1.3666666666666667,-76243.0,-73605.80208333333,86921.98989313045
1305,2021-07-31,1.4,-143613.0,-74738.09278350516,87184.2410254813
1299,2021-04-30,1.4,-19822.0,-73796.9693877551,87232.6200988388
1295,2021-01-31,1.4666666666666666,-72306.0,-73442.0202020202,86858.24455645049
1281,2017-01-31,1.4666666666666666,67107.0,-74971.59,87761.65120152468
1289,2018-04-30,1.5333333333333334,-269211.0,-73379.17821782178,88776.12095089491
1300,2021-05-31,1.5666666666666667,3809.0,-72769.6862745098,88549.75423527906
1307,2021-08-31,1.5666666666666667,-21338.0,-72313.33980582525,88236.2500005962
1292,2019-09-30,1.5666666666666667,-353713.0,-71661.54807692308,88058.10407089614
1296,2020-12-31,1.5666666666666667,-6410.0,-72044.38095238095,87721.48367290966
1297,2021-03-31,1.6,14714.0,-71429.39622641509,87532.06431394475
1312,2022-01-31,1.7,-26659.0,-70812.00934579439,87351.96268755406
1319,2022-01-31,1.7,-28966.0,-68714.55555555556,89633.58354307045
1304,2021-09-30,1.7,-80368.0,-67904.08256880734,89618.00708615972
1293,2020-08-31,1.7333333333333334,-62633.0,-68391.04545454546,89352.05289472928
1314,2021-12-31,1.7666666666666666,-59815.0,-67891.39639639639,89100.62015713974
1302,2021-05-31,1.8,-11848.0,-67538.625,88776.89363611417
1303,2021-06-30,1.9,-14820.0,-67021.4424778761,88550.50960740451
1298,2021-01-31,1.9,-117342.0,-68480.08771929824,89522.920543453
1282,2017-04-30,1.9333333333333333,-36945.0,-68293.18260869566,89151.94508653176
1308,2021-09-30,2.033333333333333,41863.0,-67279.20689655172,89432.7718955045
1309,2021-08-31,2.033333333333333,-31000.0,-65941.60683760684,90214.21095886336
1291,2018-10-31,2.033333333333333,-133040.0,-65679.8813559322,89872.83332054646
1294,2020-10-31,2.1666666666666665,-40353.0,-64428.10924369748,90527.01820112194
1315,2021-12-31,2.2,-170491.0,-64256.84166666667,90165.37141853268
1306,2021-07-31,2.2,-53471.0,-64109.666666666664,90230.24268250319
1287,2018-09-30,2.2333333333333334,-243317.0,-64547.2,90348.2087118425
1288,2018-12-31,2.2666666666666666,-153427.0,-63446.625,90707.72229001821
1301,2021-06-30,2.2666666666666666,-112057.0,-65229.083333333336,92320.23161932114
1295,2021-02-28,2.4,23163.0,-65003.825,92322.7706777942
1281,2017-02-28,2.4,2333.0,-63965.15833333333,91370.34670269869
1305,2021-08-31,2.433333333333333,-19603.0,-62752.175,91378.85598753666
1299,2021-05-31,2.433333333333333,8947.0,-62222.36666666667,91604.37995307383
1300,2021-06-30,2.566666666666667,-5889.0,-63305.058333333334,92787.23520866886
1307,2021-09-30,2.566666666666667,-26720.0,-61878.975,93333.33156523772
1289,2018-05-31,2.566666666666667,-132882.0,-61756.61666666667,93377.4207795892
1292,2019-10-31,2.6,-246569.0,-60453.49166666667,93999.44038041856
1296,2021-01-31,2.6,-74904.0,-59989.958333333336,94212.76831817823
1297,2021-04-30,2.6,41501.0,-59585.541666666664,94363.72954136686
1304,2021-10-31,2.7333333333333334,-31870.0,-58024.25,92927.88911117945
1293,2020-09-30,2.7333333333333334,-44348.0,-56996.025,92792.64406158793
1302,2021-06-30,2.8,-118563.0,-56411.65833333333,92874.2615618762
1314,2022-01-31,2.8,65909.0,-57293.96666666667,93201.81997753547
1298,2021-02-28,2.8333333333333335,-99696.0,-57267.691666666666,93198.38812991015
1303,2021-07-31,2.933333333333333,-81211.0,-56185.75833333333,93950.26788357174
1282,2017-05-31,2.966666666666667,-48620.0,-55637.15833333333,93960.58636810748
1309,2021-09-30,3.033333333333333,27214.0,-54836.75,94236.34996589669
1291,2018-11-30,3.033333333333333,-86094.0,-53398.35833333333,95565.01970107658
1308,2021-10-31,3.066666666666667,141442.0,-51533.35,93780.24745443984
1294,2020-11-30,3.1666666666666665,-24837.0,-50197.25833333333,93935.83700219235
1315,2022-01-31,3.2333333333333334,-71512.0,-49901.4,94090.12593006846
1306,2021-08-31,3.2333333333333334,-10128.0,-49734.3,93933.07941130617
1287,2018-10-31,3.2666666666666666,-250806.0,-49056.066666666666,92598.96262724855
1288,2019-01-31,3.3,18794.0,-48490.03333333333,92834.04096883818
1301,2021-07-31,3.3,-33430.0,-49169.25,92784.5244015637
1295,2021-03-31,3.433333333333333,25430.0,-48565.1,92847.03945451847
1305,2021-09-30,3.433333333333333,-1743.0,-47568.24166666667,92819.25560676989
1281,2017-03-31,3.433333333333333,-46470.0,-47406.916666666664,92734.20221134443
1299,2021-06-30,3.433333333333333,40143.0,-46498.65833333333,92367.54543446613
1296,2021-02-28,3.533333333333333,-48512.0,-43738.166666666664,88494.80841966097
1289,2018-06-30,3.566666666666667,-183438.0,-42615.3,88084.33211623404
1300,2021-07-31,3.6,17492.0,-42152.5,88052.05429009526
1307,2021-10-31,3.6,-38657.0,-40724.125,87782.1844496305
1292,2019-11-30,3.6,-226399.0,-40852.98333333333,87762.59083305832
1297,2021-05-31,3.6333333333333333,85862.0,-40185.45,87825.96252165198
1304,2021-11-30,3.7333333333333334,-11211.0,-40774.8,87335.85378591248
1293,2020-10-31,3.7666666666666666,-25766.0,-39112.35833333333,84813.26880620276
1302,2021-07-31,3.8333333333333335,-4527.0,-38727.26666666667,85114.16535451378
1298,2021-03-31,3.8666666666666667,-111859.0,-37536.416666666664,86350.21737591026
1303,2021-08-31,3.966666666666667,-6856.0,-34497.816666666666,81404.6418278821
1282,2017-06-30,3.966666666666667,-5369.0,-34420.2,81436.08191834723
1308,2021-11-30,4.066666666666666,155713.0,-33066.40833333333,83581.80750090045
1309,2021-10-31,4.066666666666666,19627.0,-32899.958333333336,83614.55715509084
1291,2018-12-31,4.066666666666666,-121470.0,-34112.0,84605.33782880398
1294,2020-12-31,4.2,-12930.0,-34665.7,85126.42115829943
1306,2021-09-30,4.233333333333333,-28381.0,-34914.166666666664,85252.15852929921
1288,2019-02-28,4.233333333333333,-9097.0,-35129.05,85347.89389699629
1287,2018-11-30,4.266666666666667,-233307.0,-34801.74166666667,85513.08036790822
1301,2021-08-31,4.333333333333333,-46986.0,-34502.65833333333,85646.21338438708
1295,2021-04-30,4.433333333333334,49328.0,-33421.775,85410.10903233489
1281,2017-04-30,4.433333333333334,89220.0,-33800.50833333333,85526.5487974934
1305,2021-10-31,4.466666666666667,-35058.0,-34105.2,85319.60763408145
1299,2021-07-31,4.466666666666667,83281.0,-34214.96666666667,85324.05211856535
1296,2021-03-31,4.566666666666666,-43876.0,-32977.14166666667,84954.9705987445
1307,2021-11-30,4.6,-15927.0,-33065.64166666667,84968.24934746532
1289,2018-07-31,4.6,-114721.0,-31579.591666666667,84099.52768615022
1300,2021-08-31,4.633333333333334,31363.0,-31950.958333333332,84295.17337383144
1292,2019-12-31,4.633333333333334,-253384.0,-30102.958333333332,82022.64969833677
1297,2021-06-30,4.633333333333334,-50569.0,-28431.85,81530.28947829323
1304,2021-12-31,4.766666666666667,-85683.0,-27007.941666666666,81549.61401866477
1293,2020-11-30,4.766666666666667,10056.0,-25456.833333333332,84237.76489253285
1302,2021-08-31,4.866666666666666,7922.0,-24912.908333333333,84628.53405562033
1298,2021-04-30,4.866666666666666,-227611.0,-24739.808333333334,84660.72376070052
1303,2021-09-30,4.966666666666667,58312.0,-23411.883333333335,86424.89952974068
1282,2017-07-31,5.0,-21118.0,-24092.308333333334,86607.01032785593
1309,2021-11-30,5.066666666666666,61430.0,-23772.966666666667,86667.86811740376
1308,2021-12-31,5.1,10539.0,-23894.433333333334,86832.13014010299
1291,2019-01-31,5.1,-620.0,-23724.208333333332,86410.93333269132
1294,2021-01-31,5.233333333333333,-50531.0,-22438.35,86790.17931099379
1306,2021-10-31,5.266666666666667,-7929.0,-22814.658333333333,86608.32508905264
1288,2019-03-31,5.266666666666667,-8784.0,-22681.958333333332,86606.53327641003
1287,2018-12-31,5.3,-144044.0,-22491.833333333332,86583.6102532864
1301,2021-09-30,5.333333333333333,-67776.0,-21197.316666666666,86295.96015676441
1295,2021-05-31,5.466666666666667,72676.0,-21659.841666666667,85973.30657073636
1305,2021-11-30,5.466666666666667,-21243.0,-20762.941666666666,85713.37948051843
1281,2017-05-31,5.466666666666667,24937.0,-20459.091666666667,85561.78717249417
1299,2021-08-31,5.5,119117.0,-19707.166666666668,85708.58012070977
1296,2021-04-30,5.566666666666666,-30410.0,-20688.841666666667,85841.16838849788
1300,2021-09-30,5.633333333333334,40139.0,-20392.766666666666,85674.79393091507
1307,2021-12-31,5.633333333333334,16321.0,-21212.283333333333,84577.07510210206
1289,2018-08-31,5.633333333333334,-127411.0,-19050.241666666665,87740.56784280622
1292,2020-01-31,5.666666666666667,-190631.0,-18880.7,87657.9612817758
1297,2021-07-31,5.666666666666667,23374.0,-17431.975,89226.38788666666
1304,2022-01-31,5.8,-82873.0,-16068.541666666666,86848.6889386823
1293,2020-12-31,5.8,-3094.0,-17067.983333333334,87133.74235250465
1302,2021-09-30,5.866666666666666,9179.0,-18471.083333333332,88740.25434843497
1298,2021-05-31,5.9,-86314.0,-18731.258333333335,88656.18856571677
1303,2021-10-31,6.0,-29508.0,-18216.283333333333,88934.73883604209
1291,2019-02-28,6.033333333333333,-5299.0,-17758.966666666667,88929.32838443368
1282,2017-08-31,6.033333333333333,-7811.0,-18535.675,88826.32953877166
1309,2021-12-31,6.1,-20707.0,-17851.35,88909.73535711055
1308,2022-01-31,6.133333333333334,27792.0,-16541.675,87597.92633084935
1294,2021-02-28,6.166666666666667,-35285.0,-16808.991666666665,87542.122665116
1306,2021-11-30,6.266666666666667,7798.0,-16166.591666666667,87663.20987595785
1288,2019-04-30,6.266666666666667,-3615.0,-14132.15,85550.647232168
1287,2019-01-31,6.333333333333333,-69718.0,-15121.441666666668,85069.66360358326
1301,2021-10-31,6.366666666666666,50020.0,-14326.591666666667,85550.74936167695
1295,2021-06-30,6.466666666666667,121564.0,-13435.875,85985.96435695775
1281,2017-06-30,6.466666666666667,10919.0,-11757.925,88099.92362124925
1305,2021-12-31,6.5,2904.0,-10752.716666666667,87635.11735822367
1299,2021-09-30,6.5,177169.0,-9653.183333333332,88507.80626493716
1296,2021-05-31,6.6,-6685.0,-10131.775,88639.6218340406
1292,2020-02-29,6.633333333333334,-174411.0,-12676.066666666668,88220.10138720441
1289,2018-09-30,6.633333333333334,-146812.0,-14142.05,89135.69282292412
